epoch,train_loss,train_acc,val_loss,val_acc
1,0.12458881360193076,95.22561863173217,0.10054362345714295,96.15832363213039
2,0.05868078241558599,98.31149927219796,0.036691658946057394,98.71944121071013
3,0.04022682402348945,98.60262008733625,0.07824541613199683,97.43888242142026
4,0.03616315248320969,98.83551673944687,0.0013820128097841219,100.0
5,0.017932823210685456,99.50509461426492,0.008442567155640951,99.76717112922002
6,0.035325940925970425,99.03930131004367,0.0025675874853203465,100.0
7,0.009473998191223536,99.70887918486171,0.01581079212413643,99.30151338766007
8,0.007912514907698202,99.73799126637554,0.00017439823738302863,100.0
9,0.005092773358379143,99.85443959243086,0.005051305413483898,99.76717112922002
10,0.015341653507346143,99.56331877729258,8.499301245046217,62.74738067520372
